RequestType,RequestID,RequestedDateText,OrganisationEntered,Cost_GBP,DepartmentID,Priority,CompletedDateText
Delivery enquiry,CH-03-00574,2026-03-19,Contoso Analytics 061,437.10,D008,High,2026-03-26
Warranty claim,CH-03-00575,2026-03-25,Northwind Services 068,330.40,D055,Normal,2026-04-03
Warranty claim,CH-03-00576,2026-03-08,Adventure Works Retial 075,236.50,D037,Normal,2026-03-11
Warranty claim,CH-03-00577,2026-03-10,Fabrikam Digital 082,77.70,D065,High,2026-03-12
Warranty claim,CH-03-00578,2026-03-24,Contoso Research 089,187.70,D071,Normal,2026-03-30
Product return,CH-03-00579,2026-03-27,Northwind Logistics 096,794.70,D043,High,2026-04-03
Warranty claim,CH-03-00580,2026-03-26,Adventure Works Analytics 103,830.70,D027,High,2026-03-29
Technical support,CH-03-00581,2026-03-16,Fabrikam Srvcs 110,75.20,D049,High,2026-03-20
Delivery enquiry,CH-03-00582,2026-03-18,Contoso Retail 117,339.40,D009,Normal,2026-03-27
Warranty claim,CH-03-00583,2026-03-07,Northwind Digital 124,233.90,D013,High,2026-03-09
Account access,CH-03-00584,2026-03-07,Adventure Works Research 131,253.40,D068,Normal,2026-03-14
Delivery enquiry,CH-03-00585,2026-03-02,Fabrikam Logistics 138,66.30,D038,High,2026-03-07
Account access,CH-03-00586,2026-03-21,Contoso Analytcs 145,224.40,D102,Normal,2026-03-31
Warranty claim,CH-03-00587,2026-03-29,Northwind Services 152,569.50,D006,Normal,2026-04-04
Warranty claim,CH-03-00588,2026-03-24,Adventure Works Retail 159,842.40,D020,High,2026-03-26
Account access,CH-03-00589,2026-03-14,Fabrikam Digital 166,396.50,D066,High,2026-03-19
Product return,CH-03-00590,2026-03-07,Unregistered Partner 83,688.30,D001,High,
Warranty claim,CH-03-00591,2026-03-16,Northwind Logistics 180,723.40,D034,High,2026-03-21
Account access,CH-03-00592,2026-03-03,Adventure Works Analytics 187,330.20,D046,High,2026-03-09
Delivery enquiry,CH-03-00593,2026-03-25,Fabrikam Services 194,22.30,D071,High,2026-04-02
Delivery enquiry,CH-03-00594,2026-03-29,Contoso Retail 201,303.10,D085,High,2026-04-08
Product return,CH-03-00595,2026-03-12,Northwind Digital 208,349.20,D054,Normal,2026-03-17
Account access,CH-03-00596,2026-03-17,Adventure Works Research 215,235.80,D101,Normal,2026-03-26
Warranty claim,CH-03-00597,2026-03-10,University of Cambridge,496.40,D092,Normal,2026-03-12
Account access,CH-03-00598,2026-03-07,Contoso Retail 009,795.90,D073,Normal,2026-03-17
Product return,CH-03-00599,2026-03-05,Northwind Digital 016,259.40,D010,High,2026-03-17
Account access,CH-03-00600,2026-03-15,Adventure Works Research 023,612.80,D106,High,2026-03-27
Delivery enquiry,CH-03-00601,2026-03-31,Fabrikam Logistics 030,298.00,D020,High,2026-04-02
Account access,CH-03-00602,2026-03-17,Contoso Analytics 037,680.30,D037,Normal,2026-03-22
Technical support,CH-03-00603,2026-03-25,Northwind Services 044,813.50,D041,Normal,2026-04-03
Product return,CH-03-00604,2026-03-08,Adventure Works Retail 051,264.80,D112,High,2026-03-18
Product return,CH-03-00605,2026-03-10,Fabrikam Digital 058,622.60,D063,High,2026-03-15
Delivery enquiry,CH-03-00606,2026-03-24,Contoso Research 065,324.80,D098,High,2026-03-30
Delivery enquiry,CH-03-00607,2026-03-16,Northwind Logistics 072,770.30,D054,Normal,2026-03-23
Warranty claim,CH-03-00608,2026-03-17,Adventure Works Analytics 079,94.60,D044,High,2026-03-24
Product return,CH-03-00609,2026-03-27,Fabrikam Services 086,710.90,D082,High,
Delivery enquiry,CH-03-00610,2026-03-29,Contoso Retail 093,370.60,D003,High,2026-04-03
Technical support,CH-03-00611,2026-03-16,Northwind Digitl 100,797.60,D075,High,2026-03-17
Product return,CH-03-00612,2026-03-09,Adventure Works Research 107,371.40,D050,Normal,2026-03-18
Technical support,CH-03-00613,2026-03-10,Fabrikam Logistics 114,227.30,D095,Normal,2026-03-13
Technical support,CH-03-00614,2026-03-11,Contoso Analytics 121,462.60,D044,High,2026-03-13
Technical support,CH-03-00615,2026-03-08,Northwind Services 128,688.90,D021,High,2026-03-17
Technical support,CH-03-00616,2026-03-25,Adventure Works Retial 135,506.50,D009,Normal,2026-04-05
Account access,CH-03-00617,2026-03-19,Fabrikam Digital 142,224.90,D022,High,2026-03-22
Account access,CH-03-00618,2026-03-11,Contoso Research 149,716.30,D052,High,2026-03-20
Warranty claim,CH-03-00619,2026-03-01,Northwind Logistics 156,146.30,D099,High,2026-03-08
Warranty claim,CH-03-00620,2026-03-03,Adventure Works Analytics 163,224.50,D039,Normal,2026-03-06
Delivery enquiry,CH-03-00621,2026-03-25,Unregistered Partner 80,592.10,D103,Normal,2026-03-29
Product return,CH-03-00622,2026-03-11,Contoso Retail 177,203.00,D089,High,2026-03-18
Delivery enquiry,CH-03-00623,2026-03-18,Northwind Digital 184,222.10,D067,High,2026-03-28
Warranty claim,CH-03-00624,2026-03-29,Adventure Works Research 191,570.30,D029,High,2026-04-04
Delivery enquiry,CH-03-00625,2026-03-20,Fabrikam Logistics 198,425.00,D079,Normal,2026-03-29
Account access,CH-03-00626,2026-03-28,Contoso Analytcs 205,589.70,D057,High,2026-03-29
Account access,CH-03-00627,2026-03-04,Northwind Services 212,731.60,D080,Normal,2026-03-13
Warranty claim,CH-03-00628,2026-03-18,Adventure Works Retail 219,93.20,D070,High,
Product return,CH-03-00629,2026-03-30,Contoso Oxford Traders,839.20,D081,High,2026-04-04
Technical support,CH-03-00630,2026-03-19,Contoso Analytics 013,423.20,D077,Normal,2026-03-31
Product return,CH-03-00631,2026-03-24,Northwind Srvcs 020,792.60,D101,High,2026-03-25
Delivery enquiry,CH-03-00632,2026-03-27,Adventure Works Retail 027,393.00,D111,Normal,2026-03-28
Delivery enquiry,CH-03-00633,2026-03-27,Fabrikam Digital 034,276.60,D067,High,2026-04-03
Warranty claim,CH-03-00634,2026-03-05,Contoso Research 041,295.70,D035,High,2026-03-14
Technical support,CH-03-00635,2026-03-18,Northwind Logistics 048,213.80,D101,High,2026-03-21
Warranty claim,CH-03-00636,2026-03-03,Adventure Works Analytcs 055,417.80,D048,Normal,2026-03-09
Account access,CH-03-00637,2026-03-06,Fabrikam Services 062,204.50,D022,Normal,2026-03-15
Account access,CH-03-00638,2026-03-20,Contoso Retail 069,294.70,D017,High,2026-03-28
Warranty claim,CH-03-00639,2026-03-15,Northwind Digital 076,542.10,D027,Normal,2026-03-23
Warranty claim,CH-03-00640,2026-03-17,Adventure Works Research 083,738.70,D085,High,2026-03-28
Delivery enquiry,CH-03-00641,2026-03-21,Fabrikam Logistics 090,290.50,D019,High,2026-03-26
Delivery enquiry,CH-03-00642,2026-03-05,Contoso Analytics 097,539.10,D105,High,2026-03-15
Product return,CH-03-00643,2026-03-27,Northwind Services 104,124.90,D020,Normal,2026-04-04
Delivery enquiry,CH-03-00644,2026-03-28,Adventure Works Retail 111,80.20,D030,Normal,2026-04-08
Technical support,CH-03-00645,2026-03-07,Fabrikam Digital 118,18.70,D074,Normal,2026-03-15
Technical support,CH-03-00646,2026-03-15,Contoso Research 125,417.90,D044,High,2026-03-19
Warranty claim,CH-03-00647,2026-03-19,Northwind Logistics 132,98.80,D079,Normal,
Account access,CH-03-00648,2026-03-29,Adventure Works Analytics 139,691.60,D066,High,2026-04-01
Warranty claim,CH-03-00649,2026-03-27,Fabrikam Services 146,165.40,D042,High,2026-04-01
Delivery enquiry,CH-03-00650,2026-03-29,Contoso Retail 153,134.50,D024,High,2026-03-31
Delivery enquiry,CH-03-00651,2026-03-15,Northwind Digitl 160,73.20,D049,High,2026-03-20
Warranty claim,CH-03-00652,2026-03-29,Unregistered Partner 77,157.10,D021,Normal,2026-04-03
Product return,CH-03-00653,2026-03-09,Fabrikam Logistics 174,169.40,D048,Normal,2026-03-13
Account access,CH-03-00654,2026-03-05,Contoso Analytics 181,741.30,D110,High,2026-03-17
Product return,CH-03-00655,2026-03-06,Northwind Services 188,419.70,D032,High,2026-03-15
Product return,CH-03-00656,2026-03-30,Adventure Works Retial 195,806.10,D006,Normal,2026-04-11
Product return,CH-03-00657,2026-03-21,Fabrikam Digital 202,491.80,D071,Normal,2026-03-23
Technical support,CH-03-00658,2026-03-22,Contoso Research 209,712.70,D068,Normal,2026-03-26
Delivery enquiry,CH-03-00659,2026-03-21,Northwind Logistics 216,403.30,D001,Normal,2026-04-02
Delivery enquiry,CH-03-00660,2026-03-15,Imperial College London,428.70,D015,Normal,2026-03-19
Product return,CH-03-00661,2026-03-26,Fabrikam Digitl 010,255.90,D070,High,2026-03-28
Account access,CH-03-00662,2026-03-09,Contoso Research 017,588.10,D009,Normal,2026-03-19
Delivery enquiry,CH-03-00663,2026-03-06,Northwind Logistics 024,671.40,D059,Normal,2026-03-12
Delivery enquiry,CH-03-00664,2026-03-17,Adventure Works Analytics 031,750.80,D109,Normal,2026-03-24
Product return,CH-03-00665,2026-03-12,Fabrikam Services 038,591.40,D020,High,2026-03-22
Warranty claim,CH-03-00666,2026-03-15,Contoso Retial 045,623.00,D033,High,
Product return,CH-03-00667,2026-03-13,Northwind Digital 052,272.60,D084,Normal,2026-03-19
Technical support,CH-03-00668,2026-03-19,Adventure Works Research 059,598.50,D083,High,2026-03-25
Account access,CH-03-00669,2026-03-12,Fabrikam Logistics 066,45.90,D105,Normal,2026-03-20
Technical support,CH-03-00670,2026-03-12,Contoso Analytics 073,97.70,D047,Normal,2026-03-22
Account access,CH-03-00671,2026-03-25,Northwind Srvcs 080,39.00,D046,Normal,2026-04-02
Warranty claim,CH-03-00672,2026-03-05,Adventure Works Retail 087,23.50,D076,Normal,2026-03-14
Account access,CH-03-00673,2026-03-03,Fabrikam Digital 094,725.90,D032,Normal,2026-03-08
Delivery enquiry,CH-03-00674,2026-03-11,Contoso Research 101,821.80,D048,High,2026-03-15
Warranty claim,CH-03-00675,2026-03-30,Northwind Logistics 108,483.20,D016,Normal,2026-04-01
Technical support,CH-03-00676,2026-03-09,Adventure Works Analytcs 115,116.50,D080,Normal,2026-03-14
Product return,CH-03-00677,2026-03-02,Fabrikam Services 122,842.00,D077,High,2026-03-07
Warranty claim,CH-03-00678,2026-03-01,Contoso Retail 129,342.90,D088,Normal,2026-03-08
Account access,CH-03-00679,2026-03-01,Northwind Digital 136,438.40,D006,Normal,2026-03-02
Warranty claim,CH-03-00680,2026-03-31,Adventure Works Research 143,842.20,D061,Normal,2026-04-07
Delivery enquiry,CH-03-00681,2026-03-01,Fabrikam Logistics 150,523.90,D069,Normal,2026-03-02
Product return,CH-03-00682,2026-03-21,Contoso Analytics 157,443.30,D004,Normal,2026-03-27
Product return,CH-03-00683,2026-03-16,Unregistered Partner 74,52.80,D022,Normal,2026-03-28
Account access,CH-03-00684,2026-03-14,Adventure Works Retail 171,171.60,D005,High,2026-03-19
Warranty claim,CH-03-00685,2026-03-27,Fabrikam Digital 178,340.50,D060,High,
Warranty claim,CH-03-00686,2026-03-30,Contoso Research 185,397.30,D030,High,2026-04-10
Warranty claim,CH-03-00687,2026-03-04,Northwind Logistics 192,490.70,D093,High,2026-03-15
Warranty claim,CH-03-00688,2026-03-17,Adventure Works Analytics 199,505.20,D017,High,2026-03-26
Delivery enquiry,CH-03-00689,2026-03-12,Fabrikam Services 206,247.10,D046,Normal,2026-03-23
Account access,CH-03-00690,2026-03-23,Contoso Retail 213,331.80,D087,Normal,2026-04-04
Technical support,CH-03-00691,2026-03-17,Northwind Digitl 220,408.20,D065,Normal,2026-03-21
Account access,CH-03-00692,2026-03-19,Fabrikam Retail Group,714.90,D029,High,2026-03-28
Delivery enquiry,CH-03-00693,2026-03-18,Fabrikam Services 014,41.80,D105,Normal,2026-03-19
Account access,CH-03-00694,2026-03-15,Contoso Retail 021,625.10,D083,High,2026-03-24
Product return,CH-03-00695,2026-03-18,Northwind Digital 028,42.40,D094,High,2026-03-22
Technical support,CH-03-00696,2026-03-20,Adventure Works Research 035,356.60,D051,Normal,2026-03-24
Account access,CH-03-00697,2026-03-03,Fabrikam Logistics 042,225.90,D108,Normal,2026-03-08
Delivery enquiry,CH-03-00698,2026-03-17,Contoso Analytics 049,528.30,D102,Normal,2026-03-18
Product return,CH-03-00699,2026-03-18,Northwind Services 056,824.90,D008,Normal,2026-03-26
Warranty claim,CH-03-00700,2026-03-23,Adventure Works Retail 063,809.00,D034,Normal,2026-03-31
